query	grouping_confidence	location_confidence	orientation_confidence
scaffold_83	0.4387893834604244	0.001176357605105167	1.0
scaffold_125	1.0	1.0	1.0
scaffold_28	0.959120545936905	0.06840056957315355	0.99906063072613
scaffold_8	1.0	0.993358859192294	0.9941467718004205
scaffold_2	1.0	0.9975853244970835	1.0
scaffold_97	1.0	1.0	1.0
scaffold_127	1.0	1.0	1.0
scaffold_17	0.9999337081834234	1.0	1.0
scaffold_27	1.0	0.9889385245350898	0.9987770433567248
scaffold_46	1.0	1.0	1.0
scaffold_53	0.3775199051329832	1.0	1.0
scaffold_112	0.92431640625	1.0	1.0
scaffold_3	0.9949268851690607	0.9549264525421038	0.9995763365612059
scaffold_34	0.9491095386324782	0.1331479447498098	1.0
scaffold_96	0.7005384509181278	1.0	1.0
scaffold_118	0.8164766458256713	1.0	1.0
scaffold_4	0.99829450831678	0.9974544531135143	1.0
scaffold_21	0.9354412950687464	1.0	1.0
scaffold_164	1.0	1.0	1.0
scaffold_123	0.9182316118935837	1.0	1.0
scaffold_1	0.9977917259352836	1.0	1.0
scaffold_42	0.9894211673528699	1.0	1.0
scaffold_50	1.0	1.0	1.0
scaffold_45	0.9843211793471471	1.0	1.0
scaffold_77	0.7373439273552781	1.0	1.0
scaffold_114	0.8186705767350929	1.0	1.0
scaffold_110	1.0	1.0	1.0
scaffold_31	0.9683432440921408	0.9098054809457358	0.995777818704593
scaffold_10	0.9970552459037835	0.9973571427236383	1.0
scaffold_48	0.9886199233373604	1.0	1.0
scaffold_19	1.0	1.0	1.0
scaffold_23	1.0	0.9454427520420723	1.0
scaffold_15	0.9998802182384423	0.9840373672478083	1.0
scaffold_43	0.906741029802811	1.0	1.0
scaffold_41	0.8887348935857456	1.0	1.0
scaffold_89	1.0	1.0	1.0
scaffold_35	1.0	0.9968594883856916	1.0
scaffold_25	0.9995045722608218	1.0	1.0
scaffold_195	1.0	1.0	1.0
scaffold_16	1.0	0.9870425966496071	0.9898298651424489
scaffold_54	0.9219462649955924	1.0	1.0
scaffold_37	0.6324820935941889	0.5919696790240436	0.9958783513405363
scaffold_72	0.5223203691496374	1.0	1.0
scaffold_95	1.0	1.0	1.0
scaffold_58	0.4040152055119981	1.0	1.0
scaffold_66	0.992783936414976	1.0	1.0
scaffold_88	0.9421796329381192	1.0	1.0
scaffold_24	0.99931111528617	0.8723059071655551	0.9979945902454606
scaffold_223	1.0	1.0	1.0
scaffold_39	1.0	1.0	1.0
scaffold_26	0.996221180115237	0.9640835572577241	0.9486877739143806
scaffold_18	1.0	1.0	1.0
scaffold_32	1.0	1.0	1.0
scaffold_11	1.0	1.0	1.0
scaffold_59	1.0	0.006792535187195832	0.8842796361502347
scaffold_99	1.0	1.0	1.0
scaffold_73	0.9147143910601849	0.024527153949699978	0.9442032805184335
scaffold_78	0.9419401440759034	0.03778743520201621	0.9809011585732347
scaffold_131	1.0	0.006761786889136008	0.5783588508515397
scaffold_49	0.5374958704988437	0.0023845354303566164	0.4676090964966195
scaffold_135	1.0	1.0	1.0
scaffold_103	0.8521698770016245	0.01466318988271844	1.0
scaffold_159	1.0	1.0	1.0
scaffold_155	1.0	1.0	1.0
scaffold_60	1.0	0.007690910300431381	0.5194450913204032
scaffold_75	0.9109827040955765	0.007115930223444418	0.5811511593022758
scaffold_156	1.0	1.0	1.0
scaffold_108	1.0	0.003920072029592063	0.9962500901420639
scaffold_158	1.0	1.0	1.0
scaffold_64	0.9924958123953099	1.0	1.0
scaffold_80	1.0	0.005093021733212497	0.8440460081190798
scaffold_65	0.6832968144277768	0.0017795500117641688	0.647508633448446
scaffold_111	0.9255368814192344	0.008999541511378235	0.6907944514501891
scaffold_85	0.9038063385889473	0.0027930101414567355	0.6801762114537445
scaffold_179	1.0	1.0	1.0
scaffold_107	1.0	0.0006341199270405837	0.6831460674157304
scaffold_87	1.0	0.03355301068360501	0.7604721860318212
scaffold_57	1.0	0.03291763788907108	0.9716085509415417
scaffold_136	1.0	0.0024891755175408233	0.5135398877775067
scaffold_67	0.913378639922583	0.03542408764603123	0.9891763686054491
scaffold_202	1.0	1.0	1.0
scaffold_71	0.9346229625649293	0.007421595353798743	0.7171330011498659
scaffold_94	1.0	0.0022607532661785027	0.8877458942429164
scaffold_70	1.0	1.0	1.0
scaffold_209	1.0	1.0	1.0
scaffold_201	1.0	1.0	1.0
scaffold_157	1.0	1.0	1.0
scaffold_178	1.0	1.0	1.0
scaffold_124	1.0	1.0	1.0
scaffold_160	1.0	1.0	1.0
scaffold_175	1.0	1.0	1.0
scaffold_142	1.0	1.0	1.0
scaffold_133	1.0	0.0011990230532717256	1.0
scaffold_191	1.0	1.0	1.0
scaffold_141	1.0	1.0	1.0
scaffold_91	0.9584553928095872	0.013575753003526904	0.4820783550986385
scaffold_238	1.0	1.0	1.0
scaffold_132	1.0	1.0	1.0
scaffold_147	1.0	0.0015524717503984378	0.9341040462427745
scaffold_102	1.0	0.004652401251655444	0.6704002185493785
scaffold_90	0.7647274057811928	0.0012609648130483915	0.85
scaffold_150	1.0	1.0	1.0
