query	grouping_confidence	location_confidence	orientation_confidence
scaffold_421	1.0	1.0	1.0
scaffold_374	0.9336803983703033	1.0	1.0
scaffold_762	1.0	1.0	1.0
scaffold_27	0.7099052625660632	1.0	1.0
scaffold_102	1.0	1.0	1.0
scaffold_190	0.495992456388496	1.0	1.0
scaffold_215	0.77527951836835	1.0	1.0
scaffold_283	1.0	1.0	1.0
scaffold_508	0.7797356828193832	1.0	1.0
scaffold_359	0.38590642602598	1.0	1.0
scaffold_179	0.4670236501561803	1.0	1.0
scaffold_309	0.6098525163448381	1.0	1.0
scaffold_498	0.8503118503118503	1.0	1.0
scaffold_369	0.7558802565930149	1.0	1.0
scaffold_217	0.7594635885248684	0.7680247196154727	0.6623454030695872
scaffold_30	0.9860098707403055	1.0	1.0
scaffold_652	1.0	1.0	1.0
scaffold_1022	1.0	1.0	1.0
scaffold_796	0.6360544217687075	1.0	1.0
scaffold_299	0.6799536293918317	1.0	1.0
scaffold_131	0.4853782581055308	1.0	1.0
scaffold_7	0.7491069343870328	1.0	1.0
scaffold_125	0.9612371020250511	0.9324751097312921	0.8011538130363652
scaffold_105	1.0	0.7560062903910832	0.6702297262416301
scaffold_50	1.0	0.9890417756170448	1.0
scaffold_56	0.6600568807528294	1.0	1.0
scaffold_322	0.692374624268312	1.0	1.0
scaffold_298	1.0	1.0	1.0
scaffold_840	1.0	1.0	1.0
scaffold_461	0.40418118466898956	1.0	1.0
scaffold_418	0.5992063492063492	1.0	1.0
scaffold_1209	1.0	1.0	1.0
scaffold_551	1.0	1.0	1.0
scaffold_65	0.8922270426608822	1.0	1.0
scaffold_307	0.5418258212375859	0.07642986071823056	0.5593937257666549
scaffold_1574	1.0	1.0	1.0
scaffold_800	1.0	1.0	1.0
scaffold_1165	1.0	1.0	1.0
scaffold_1442	0.893305439330544	1.0	1.0
scaffold_1195	1.0	1.0	1.0
scaffold_1443	1.0	1.0	1.0
scaffold_534	0.9053639846743295	1.0	0.9773299748110831
scaffold_547	1.0	1.0	1.0
scaffold_514	1.0	1.0	1.0
scaffold_13	0.9493798093816636	0.9392071073186087	0.6591758222548004
scaffold_41	0.9334112010863501	0.41824198759032544	0.8638148624795894
scaffold_188	0.9677966101694915	0.876663254861822	0.5796847635726795
scaffold_1116	1.0	1.0	1.0
scaffold_428	1.0	1.0	1.0
scaffold_26	0.9869517026247032	1.0	1.0
scaffold_127	0.8043639970245475	1.0	1.0
scaffold_163	0.9047760749888409	1.0	1.0
scaffold_175	1.0	1.0	1.0
scaffold_248	1.0	1.0	1.0
scaffold_238	0.6729185354317867	1.0	1.0
scaffold_245	0.5667736601497909	1.0	1.0
scaffold_717	0.6244477172312224	1.0	1.0
scaffold_269	1.0	1.0	1.0
scaffold_469	1.0	1.0	1.0
scaffold_196	0.453781512605042	1.0	1.0
scaffold_983	1.0	1.0	1.0
scaffold_624	1.0	1.0	1.0
scaffold_1418	1.0	1.0	1.0
scaffold_126	0.4807824002739257	1.0	1.0
scaffold_1176	1.0	0.06348470806302131	0.5875912408759124
scaffold_312	0.22869471413160733	1.0	1.0
scaffold_266	0.9169281729428173	1.0	1.0
scaffold_1112	0.6265912305516266	1.0	1.0
scaffold_171	0.9978535189280604	1.0	1.0
scaffold_370	0.8245716510903427	1.0	1.0
scaffold_523	0.9440866510538641	1.0	1.0
scaffold_522	1.0	1.0	1.0
scaffold_194	0.40241364960466086	1.0	1.0
scaffold_319	0.7326388888888888	1.0	1.0
scaffold_219	0.36566589684372597	1.0	1.0
scaffold_544	1.0	1.0	1.0
scaffold_956	0.45854483925549916	1.0	1.0
scaffold_209	0.9963764137476666	1.0	1.0
scaffold_1060	1.0	1.0	1.0
scaffold_573	1.0	1.0	1.0
scaffold_540	0.5862995298858295	0.5553435114503816	0.9301260022909508
scaffold_1299	1.0	1.0	1.0
scaffold_183	0.5948931286759432	1.0	1.0
scaffold_177	1.0	1.0	1.0
scaffold_758	1.0	1.0	1.0
scaffold_193	0.9919319668556477	1.0	1.0
scaffold_489	1.0	1.0	1.0
scaffold_526	1.0	1.0	1.0
scaffold_1161	1.0	1.0	1.0
scaffold_886	1.0	1.0	1.0
scaffold_425	1.0	1.0	1.0
scaffold_1	0.3643634538782423	1.0	1.0
scaffold_21	1.0	1.0	1.0
scaffold_74	1.0	1.0	1.0
scaffold_29	1.0	1.0	1.0
scaffold_68	0.9997082037114605	1.0	1.0
scaffold_14	0.9998676852073276	1.0	1.0
scaffold_1537	1.0	1.0	1.0
scaffold_205	1.0	1.0	1.0
scaffold_1501	1.0	1.0	1.0
scaffold_687	1.0	1.0	1.0
scaffold_990	1.0	1.0	1.0
scaffold_343	1.0	1.0	1.0
scaffold_234	1.0	1.0	1.0
scaffold_57	0.9581995378428666	1.0	1.0
scaffold_119	0.6568413391557496	1.0	1.0
scaffold_124	1.0	1.0	1.0
scaffold_139	1.0	1.0	1.0
scaffold_583	0.7112790070156503	1.0	1.0
scaffold_561	1.0	1.0	1.0
scaffold_173	0.40728015600334294	1.0	1.0
scaffold_243	0.629278951201748	1.0	1.0
scaffold_1409	1.0	1.0	1.0
scaffold_1280	1.0	1.0	1.0
scaffold_191	0.5852330724736304	1.0	1.0
scaffold_155	1.0	1.0	1.0
scaffold_434	0.5089285714285714	1.0	1.0
scaffold_1080	1.0	1.0	1.0
scaffold_799	1.0	1.0	1.0
scaffold_412	1.0	1.0	1.0
scaffold_419	0.7466307277628033	1.0	1.0
scaffold_253	0.49000825763831546	1.0	1.0
scaffold_1558	1.0	1.0	1.0
scaffold_1223	1.0	1.0	1.0
scaffold_1187	1.0	1.0	1.0
